O2,d_glucose,sodium_citrate,sodium_octanoate,sodium_acetate,sodium_benzoate,pH,sodium_chloride,potassium_chloride,mme_trace_minerals,urea,ammonium_chloride,type,direction,frontier_type,growth_pred,var,is_redo,round,experiment_number,feature,parent_plate,strain,environment,fitness,depth
1,1.653307319,1.719923139,1.808209658,1.663844168,0.09595532,7,43.34538803,99.07606989,0.628478944,0.419263631,0.821930408,,2,FRONTIER,1,0,False,1,53,0.562,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,P_putida_AG5577,PH7,5.785861358956762,159.23237050699998
1,2.642977953,1.40735817,1.838291287,0.413159564,1.93350628,7,114.2169461,5.397083238,0.457833201,0.436490089,0.795844674,,2,FRONTIER,1,0,False,1,75,0.534,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,P_putida_AG5577,PH7,5.497597803706246,137.53949055599998
1,2.176596165,1.941659093,1.512582898,7.267680645,2.351804823,7,2.400396625,86.59431338,0.134206653,0.311958522,0.608095229,,2,FRONTIER,1,0,False,1,3,0.525,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,P_putida_AG5577,PH7,5.404941660947153,113.29929403300001
1,3.981551647,2.125725508,1.616616011,5.166110158,2.074682862,9,70.46546787,68.67121905,0.756258845,0.480754763,0.645510912,,2,FRONTIER,1,0,False,1,50,0.497,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,P_putida_AG5577,PH9,5.1166781056966375,165.98389762599996
1,0.809771538,2.073081255,1.491985917,2.415028095,1.423056573,7,62.45167926,64.62269276,0.291264266,0.457858413,0.204811975,,2,FRONTIER,1,0,False,1,48,0.4740000000000001,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,P_putida_AG5577,PH7,4.879890185312287,144.24123005200002
1,3.800416946,2.760516405,1.39670372,1.133043498,0.913937017,7,100.9699032,34.05215964,0.6221807,0.444812387,0.178603947,,2,FRONTIER,1,0,False,1,82,0.4730000000000001,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,P_putida_AG5577,PH7,4.869595058339054,154.27227746
1,3.588275194,3.23183012,1.693001747,6.075245619,0.415355153,7,42.6424183,110.2948636,0.933479786,0.391857386,0.198260024,,2,FRONTIER,1,0,False,1,66,0.4680000000000001,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,P_putida_AG5577,PH7,4.818119423472891,177.46458692899998
1,0.582948983,3.91939497,1.660462976,7.978335142,2.25244835,7,112.5393957,15.63932747,0.231200665,0.377835214,0.168325007,,2,FRONTIER,1,0,False,1,64,0.4590000000000001,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,P_putida_AG5577,PH7,4.725463280713797,153.34967447699998
1,1.989474416,0.256422698,1.101562738,8.756803036,1.238305494,7,94.40767765,54.05999348,0.817814052,0.495531499,0.801084518,,2,FRONTIER,1,0,False,1,37,0.408,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,P_putida_AG5577,PH7,4.20041180507893,171.92466958100002
1,2.42245245,3.327321529,1.847869992,4.068453312,0.992922708,7,7.892152295,28.39268744,0.683886349,0.038653892,0.998429894,,2,FRONTIER,1,0,False,1,46,0.408,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,P_putida_AG5577,PH7,4.20041180507893,58.664829860999994
1,2.465888739,0.035043426,1.343237996,0.127835445,1.326184422,7,76.88874751,10.26768889,0.327711225,0.352836251,0.518889844,,2,FRONTIER,1,0,False,1,19,0.398,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,P_putida_AG5577,PH7,4.097460535346603,101.654063748
1,3.270622015,2.359024286,1.188182592,6.559696913,1.022677049,7,17.47442968,124.9558926,0.781874418,0.319311768,0.49085474,,2,FRONTIER,1,0,False,1,26,0.388,Plate_Round1_1$b7ed3bc2325940c7c95e6bdb6b96f542a2c72268,P_putida_AG5577,PH7,3.9945092656142767,166.42256606100003
