stock,Source Well,volume
P_putida_AG5577,A01,50.0 ul
ammonium_chloride,A03,50.0 ul
d_glucose,A04,50.0 ul
glycerophosphoric_acid,A05,50.0 ul
glycerophosphoric_acid,A06,50.0 ul
glycerophosphoric_acid,A07,50.0 ul
glycerophosphoric_acid,A08,50.0 ul
mme_trace_minerals,A09,50.0 ul
oxyrase,A10,50.0 ul
oxyrase,A11,50.0 ul
potassium_chloride,A12,50.0 ul
potassium_chloride,A13,50.0 ul
sodium_acetate,A14,50.0 ul
sodium_benzoate,A15,50.0 ul
sodium_chloride,A16,50.0 ul
sodium_chloride,A17,50.0 ul
sodium_citrate,A18,50.0 ul
sodium_formate,A19,50.0 ul
sodium_octanoate,A20,50.0 ul
urea,A21,50.0 ul
water,A22,50.0 ul
water,A23,50.0 ul
water,A24,50.0 ul
water,B01,50.0 ul
water,B02,50.0 ul
water,B03,50.0 ul
water,B04,50.0 ul
water,B05,50.0 ul
water,B06,50.0 ul
water,B07,50.0 ul
water,B08,50.0 ul
